rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_at_checkout,delay_of_previous_client_in_minutes,previous_client_late,delay_of_rental_start_in_minutes,client_rental_start_impacted
548814,338940,mobile,ended,11.0,531952.0,450.0,checkout delayed,320.0,yes,-130.0,no
549917,389958,mobile,ended,9.0,557743.0,720.0,checkout delayed,45.0,yes,-675.0,no
551686,383110,connect,ended,-11.0,547672.0,150.0,checkout not delayed,7.0,yes,-143.0,no
552756,374684,mobile,ended,-56.0,547550.0,600.0,checkout not delayed,-63.0,no,-663.0,no
553139,297851,mobile,canceled,,547650.0,240.0,checkout not delayed,410.0,yes,170.0,yes
553859,402832,mobile,ended,,536133.0,0.0,checkout not delayed,,no,,no
552002,338940,mobile,ended,,549387.0,480.0,checkout not delayed,,no,,no
552049,404192,mobile,ended,1392.0,551936.0,150.0,checkout delayed,925.0,yes,775.0,yes
552230,338940,mobile,ended,233.0,513740.0,30.0,checkout delayed,83.0,yes,53.0,yes
553101,389521,mobile,ended,,565036.0,390.0,checkout not delayed,,no,,no
553939,402528,connect,ended,-99.0,558730.0,0.0,checkout not delayed,6.0,yes,6.0,yes
554170,402209,mobile,ended,-125.0,564541.0,390.0,checkout not delayed,102.0,yes,-288.0,no
554505,402562,connect,ended,-47.0,554934.0,0.0,checkout not delayed,12.0,yes,12.0,yes
554791,382734,mobile,ended,-54.0,554944.0,720.0,checkout not delayed,37.0,yes,-683.0,no
555087,341105,mobile,ended,-152.0,541340.0,600.0,checkout not delayed,-79.0,no,-679.0,no
555105,401281,connect,canceled,,549535.0,420.0,checkout not delayed,-68.0,no,-488.0,no
555116,339607,mobile,ended,-8.0,553008.0,720.0,checkout not delayed,64.0,yes,-656.0,no
555821,326578,mobile,ended,1143.0,558583.0,0.0,checkout delayed,3.0,yes,3.0,yes
556870,391519,connect,ended,,555600.0,180.0,checkout not delayed,-95.0,no,-275.0,no
557318,334190,connect,ended,158.0,556215.0,660.0,checkout delayed,77.0,yes,-583.0,no
558448,383110,connect,ended,64.0,554348.0,150.0,checkout delayed,-20.0,no,-170.0,no
559037,349171,connect,canceled,,552392.0,0.0,checkout not delayed,46.0,yes,46.0,yes
559280,405938,mobile,canceled,,561282.0,60.0,checkout not delayed,-40.0,no,-100.0,no
559430,357530,connect,ended,-7.0,558258.0,0.0,checkout not delayed,2.0,yes,2.0,yes
521076,380708,connect,ended,103.0,539450.0,210.0,checkout delayed,194.0,yes,-16.0,no
531247,392368,connect,ended,-32.0,550614.0,60.0,checkout not delayed,27.0,yes,-33.0,no
538564,393185,mobile,ended,-36.0,531229.0,0.0,checkout not delayed,-71.0,no,-71.0,no
539838,295415,mobile,ended,2.0,541223.0,390.0,checkout delayed,158.0,yes,-232.0,no
540785,403962,mobile,canceled,,533619.0,120.0,checkout not delayed,,no,,no
541281,397046,mobile,ended,14.0,537194.0,210.0,checkout delayed,189.0,yes,-21.0,no
541964,356106,connect,ended,-9.0,543577.0,0.0,checkout not delayed,-13.0,no,-13.0,no
542464,320824,connect,canceled,,554117.0,450.0,checkout not delayed,-1084.0,no,-1534.0,no
542781,309723,mobile,ended,297.0,541286.0,30.0,checkout delayed,31.0,yes,1.0,yes
543322,380647,connect,ended,,540701.0,630.0,checkout not delayed,-110.0,no,-740.0,no
543745,359045,connect,canceled,,521852.0,150.0,checkout not delayed,650.0,yes,500.0,yes
543959,330013,mobile,canceled,,540896.0,540.0,checkout not delayed,-173.0,no,-713.0,no
544363,409750,mobile,ended,-81.0,539021.0,120.0,checkout not delayed,-100.0,no,-220.0,no
544317,361564,mobile,ended,-8.0,530202.0,120.0,checkout not delayed,21.0,yes,-99.0,no
545980,396009,connect,ended,1.0,549819.0,60.0,checkout delayed,-425.0,no,-485.0,no
546387,352528,connect,canceled,,546578.0,600.0,checkout not delayed,-536.0,no,-1136.0,no
546792,230201,connect,ended,-32.0,546832.0,0.0,checkout not delayed,-8.0,no,-8.0,no
