rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_at_checkout,delay_of_previous_client_in_minutes,previous_client_late,delay_of_rental_start_in_minutes,client_rental_start_impacted,state_encoded
544586,312389,mobile,ended,31.0,,,checkout delayed,,no,,no,0
544617,367627,mobile,ended,-23.0,,,checkout not delayed,,no,,no,0
544642,176755,mobile,canceled,,,,checkout not delayed,,no,,no,1
544763,394781,mobile,ended,233.0,,,checkout delayed,,no,,no,0
544777,387810,connect,ended,50.0,,,checkout delayed,,no,,no,0
544937,348400,mobile,ended,108.0,,,checkout delayed,,no,,no,0
544967,373545,mobile,ended,56.0,,,checkout delayed,,no,,no,0
544980,350135,mobile,ended,-2.0,,,checkout not delayed,,no,,no,0
545064,194343,connect,ended,74.0,,,checkout delayed,,no,,no,0
545068,374684,mobile,ended,-31.0,,,checkout not delayed,,no,,no,0
545171,292910,mobile,ended,7.0,,,checkout delayed,,no,,no,0
545202,367365,connect,canceled,,,,checkout not delayed,,no,,no,1
545214,363658,mobile,ended,302.0,,,checkout delayed,,no,,no,0
545272,370585,connect,ended,-98.0,,,checkout not delayed,,no,,no,0
545319,353251,mobile,ended,93.0,,,checkout delayed,,no,,no,0
545320,224133,mobile,ended,20.0,,,checkout delayed,,no,,no,0
545333,217777,connect,canceled,,,,checkout not delayed,,no,,no,1
545357,408467,mobile,ended,,,,checkout not delayed,,no,,no,0
545438,393172,connect,ended,-467.0,,,checkout not delayed,,no,,no,0
545640,312840,connect,canceled,,,,checkout not delayed,,no,,no,1
545741,409096,mobile,ended,20.0,,,checkout delayed,,no,,no,0
545763,366310,mobile,ended,69.0,,,checkout delayed,,no,,no,0
545782,382901,mobile,ended,-9.0,,,checkout not delayed,,no,,no,0
545922,409695,mobile,ended,-80.0,,,checkout not delayed,,no,,no,0
545947,396470,mobile,ended,-44.0,,,checkout not delayed,,no,,no,0
546024,381038,mobile,ended,163.0,,,checkout delayed,,no,,no,0
546150,242106,mobile,ended,-2.0,,,checkout not delayed,,no,,no,0
546160,352528,connect,canceled,,546578.0,630.0,checkout not delayed,-536.0,no,-1166.0,no,1
546169,409274,mobile,ended,10.0,,,checkout delayed,,no,,no,0
546252,408509,mobile,ended,-52.0,,,checkout not delayed,,no,,no,0
546365,384056,mobile,canceled,,,,checkout not delayed,,no,,no,1
546477,383309,mobile,ended,16.0,548486.0,660.0,checkout delayed,-3.0,no,-663.0,no,0
546484,409391,mobile,ended,92.0,,,checkout delayed,,no,,no,0
546491,366448,mobile,canceled,,,,checkout not delayed,,no,,no,1
546564,392732,mobile,ended,7.0,,,checkout delayed,,no,,no,0
546738,288953,mobile,ended,,,,checkout not delayed,,no,,no,0
546745,342645,connect,ended,-55.0,,,checkout not delayed,,no,,no,0
546822,394781,mobile,ended,30.0,,,checkout delayed,,no,,no,0
546865,399535,mobile,ended,261.0,,,checkout delayed,,no,,no,0
546888,295783,connect,ended,84.0,,,checkout delayed,,no,,no,0
546935,348526,connect,ended,85.0,,,checkout delayed,,no,,no,0
546938,410452,mobile,ended,10.0,,,checkout delayed,,no,,no,0
546957,405122,mobile,ended,-113.0,,,checkout not delayed,,no,,no,0
546991,377219,connect,ended,423.0,,,checkout delayed,,no,,no,0
547033,276276,mobile,ended,500.0,,,checkout delayed,,no,,no,0
547039,409872,mobile,ended,,,,checkout not delayed,,no,,no,0
547072,395489,mobile,canceled,,,,checkout not delayed,,no,,no,1
547122,385574,connect,ended,-5.0,,,checkout not delayed,,no,,no,0
547160,409344,mobile,ended,1.0,,,checkout delayed,,no,,no,0
547177,214635,connect,ended,-548.0,,,checkout not delayed,,no,,no,0
547188,231676,mobile,ended,266.0,535868.0,30.0,checkout delayed,16.0,yes,-14.0,no,0
547198,381684,mobile,ended,145.0,,,checkout delayed,,no,,no,0
547223,188944,connect,ended,8.0,,,checkout delayed,,no,,no,0
547236,392147,mobile,ended,-8.0,,,checkout not delayed,,no,,no,0
547348,374614,mobile,ended,74.0,,,checkout delayed,,no,,no,0
547557,408406,mobile,ended,126.0,,,checkout delayed,,no,,no,0
548028,409718,mobile,ended,15.0,,,checkout delayed,,no,,no,0
548177,411835,mobile,canceled,,,,checkout not delayed,,no,,no,1
548215,367346,mobile,ended,-8.0,,,checkout not delayed,,no,,no,0
548279,317330,connect,ended,-692.0,,,checkout not delayed,,no,,no,0
548352,409458,mobile,ended,195.0,,,checkout delayed,,no,,no,0
548355,375311,mobile,canceled,,,,checkout not delayed,,no,,no,1
548453,374241,mobile,canceled,,,,checkout not delayed,,no,,no,1
548598,288973,mobile,ended,-133.0,,,checkout not delayed,,no,,no,0
548603,363820,mobile,ended,-22.0,,,checkout not delayed,,no,,no,0
548646,282893,mobile,ended,201.0,,,checkout delayed,,no,,no,0
548702,406104,mobile,ended,21.0,,,checkout delayed,,no,,no,0
548897,278005,mobile,ended,-307.0,,,checkout not delayed,,no,,no,0
548904,373316,mobile,ended,-40.0,,,checkout not delayed,,no,,no,0
548912,411521,mobile,ended,225.0,553683.0,60.0,checkout delayed,42.0,yes,-18.0,no,0
548973,227830,mobile,canceled,,,,checkout not delayed,,no,,no,1
549047,369608,mobile,ended,-37.0,,,checkout not delayed,,no,,no,0
549135,394752,mobile,canceled,,,,checkout not delayed,,no,,no,1
549261,360829,mobile,ended,-12.0,,,checkout not delayed,,no,,no,0
549266,411687,mobile,ended,-11.0,,,checkout not delayed,,no,,no,0
549273,175887,connect,ended,-26.0,,,checkout not delayed,,no,,no,0
549290,364907,connect,ended,-49.0,,,checkout not delayed,,no,,no,0
549340,181607,mobile,ended,381.0,,,checkout delayed,,no,,no,0
549345,369881,connect,ended,22.0,,,checkout delayed,,no,,no,0
549444,177058,mobile,ended,144.0,,,checkout delayed,,no,,no,0
549446,391174,mobile,ended,69.0,,,checkout delayed,,no,,no,0
549499,408814,mobile,ended,19.0,,,checkout delayed,,no,,no,0
549558,328016,mobile,ended,10.0,,,checkout delayed,,no,,no,0
549579,273263,mobile,ended,-5.0,,,checkout not delayed,,no,,no,0
549674,390702,connect,ended,-127.0,,,checkout not delayed,,no,,no,0
549692,358131,mobile,ended,-158.0,,,checkout not delayed,,no,,no,0
549808,310219,connect,ended,54.0,,,checkout delayed,,no,,no,0
549874,409690,mobile,ended,3.0,,,checkout delayed,,no,,no,0
549901,383481,mobile,ended,201.0,,,checkout delayed,,no,,no,0
549923,407730,mobile,ended,167.0,,,checkout delayed,,no,,no,0
549983,356540,mobile,ended,,,,checkout not delayed,,no,,no,0
550000,378182,mobile,ended,-136.0,,,checkout not delayed,,no,,no,0
550134,294883,mobile,ended,-158.0,,,checkout not delayed,,no,,no,0
550211,407838,mobile,ended,20.0,,,checkout delayed,,no,,no,0
550224,358567,connect,ended,-7.0,,,checkout not delayed,,no,,no,0
550246,408578,mobile,ended,-15.0,,,checkout not delayed,,no,,no,0
550248,382901,mobile,ended,-127.0,545782.0,60.0,checkout not delayed,-9.0,no,-69.0,no,0
550459,295815,mobile,ended,82.0,,,checkout delayed,,no,,no,0
550537,239798,connect,ended,37.0,,,checkout delayed,,no,,no,0
550660,399967,mobile,ended,0.0,,,checkout not delayed,,no,,no,0
550723,380886,mobile,ended,,545855.0,120.0,checkout not delayed,74.0,yes,-46.0,no,0
550808,346652,connect,ended,-41.0,,,checkout not delayed,,no,,no,0
550929,310681,connect,ended,-25.0,,,checkout not delayed,,no,,no,0
550964,229360,mobile,canceled,,,,checkout not delayed,,no,,no,1
551031,409711,mobile,ended,-1283.0,,,checkout not delayed,,no,,no,0
551040,383343,mobile,ended,40.0,,,checkout delayed,,no,,no,0
551069,359880,connect,ended,-22.0,549192.0,180.0,checkout not delayed,45.0,yes,-135.0,no,0
551108,291723,mobile,ended,211.0,,,checkout delayed,,no,,no,0
551128,382939,mobile,ended,97.0,,,checkout delayed,,no,,no,0
551137,295783,connect,ended,16.0,,,checkout delayed,,no,,no,0
551179,304570,mobile,ended,536.0,,,checkout delayed,,no,,no,0
551227,341710,mobile,ended,159.0,,,checkout delayed,,no,,no,0
551311,409112,mobile,ended,,,,checkout not delayed,,no,,no,0
551317,283001,mobile,ended,-7.0,,,checkout not delayed,,no,,no,0
551364,406062,connect,ended,34.0,,,checkout delayed,,no,,no,0
551429,277888,mobile,ended,203.0,,,checkout delayed,,no,,no,0
551591,304055,mobile,ended,,,,checkout not delayed,,no,,no,0
551679,381233,mobile,ended,275.0,,,checkout delayed,,no,,no,0
551695,374293,mobile,canceled,,,,checkout not delayed,,no,,no,1
551795,382793,mobile,ended,-193.0,,,checkout not delayed,,no,,no,0
551868,409330,mobile,ended,,,,checkout not delayed,,no,,no,0
551907,171249,mobile,ended,11.0,,,checkout delayed,,no,,no,0
552204,348625,mobile,ended,91.0,,,checkout delayed,,no,,no,0
552209,412676,mobile,ended,23.0,,,checkout delayed,,no,,no,0
552233,245154,connect,ended,4.0,,,checkout delayed,,no,,no,0
552265,408202,mobile,ended,-28.0,,,checkout not delayed,,no,,no,0
552312,384045,mobile,canceled,,,,checkout not delayed,,no,,no,1
552330,384657,connect,ended,23.0,554800.0,0.0,checkout delayed,-672.0,no,-672.0,no,0
552342,376619,mobile,ended,-965.0,547312.0,0.0,checkout not delayed,-77.0,no,-77.0,no,0
552389,307335,mobile,ended,6.0,,,checkout delayed,,no,,no,0
552425,385625,connect,ended,-102.0,550476.0,30.0,checkout not delayed,-236.0,no,-266.0,no,0
552448,364662,mobile,ended,-232.0,,,checkout not delayed,,no,,no,0
552524,173061,connect,ended,-22.0,,,checkout not delayed,,no,,no,0
552655,406081,mobile,ended,322.0,,,checkout delayed,,no,,no,0
552677,323777,mobile,ended,31.0,,,checkout delayed,,no,,no,0
552700,348673,mobile,ended,63.0,,,checkout delayed,,no,,no,0
552716,294883,mobile,ended,10.0,,,checkout delayed,,no,,no,0
552850,315136,connect,ended,40.0,,,checkout delayed,,no,,no,0
552964,384385,mobile,ended,20.0,,,checkout delayed,,no,,no,0
553033,381331,mobile,ended,,,,checkout not delayed,,no,,no,0
553153,276924,mobile,ended,5.0,,,checkout delayed,,no,,no,0
553240,362608,mobile,ended,,,,checkout not delayed,,no,,no,0
553354,401166,mobile,ended,7.0,,,checkout delayed,,no,,no,0
